,0,1,2,3,4,5,6,7,8
0,0.0,5.0,24.0,41.0,60.0,77.0,16.267997426016553,14.165686007843368,18.370308844189736
1,0.0,0.0,13.0,33.0,53.0,68.0,12.712740667211992,10.475875251574216,14.949606082849769
2,0.0,12.0,26.0,40.0,56.0,73.0,13.643333605033344,11.299247129920825,15.987420080145863
3,8.0,22.0,37.0,48.0,62.0,79.0,16.87336359424898,14.779255271489415,18.96747191700854
4,1.0,15.0,22.0,44.0,58.0,75.0,15.334171666034305,13.086498688724655,17.581844643343956
5,0.0,0.0,13.0,36.0,55.0,74.0,15.718477859662126,13.391885441268881,18.04507027805537
6,0.0,18.0,35.0,45.0,58.0,73.0,14.507536125436006,12.27429442560192,16.740777825270094
7,3.0,17.0,32.0,51.0,63.0,81.0,17.859398010888306,15.588353099513368,20.130442922263242
8,0.0,12.0,22.0,41.0,58.0,75.0,15.736813108162144,13.763439464240896,17.71018675208339
9,0.0,0.0,8.0,27.0,44.0,69.0,12.983164744526745,10.990904591792068,14.975424897261421
10,0.0,0.0,13.0,37.0,53.0,71.0,14.573089293133695,12.876700160384983,16.269478425882404
11,0.0,10.0,27.0,41.0,60.0,74.0,14.268309904569065,12.32948918032166,16.207130628816472
12,1.0,18.0,37.0,50.0,65.0,80.0,16.57650259590164,14.770299096460107,18.382706095343174
13,0.0,10.0,34.0,48.0,65.0,73.0,13.949271773882067,11.611531557314757,16.28701199044938
14,0.0,4.0,20.0,37.0,52.0,70.0,12.968287093454338,10.994524586185525,14.94204960072315
15,0.0,0.0,6.0,27.0,48.0,69.0,12.036288798252937,10.12447443560212,13.948103160903752
16,0.0,0.0,12.0,32.0,49.0,66.0,10.814616856460576,8.564886228076114,13.064347484845038
17,0.0,6.0,23.0,41.0,60.0,73.0,13.936647226693378,12.067595383245441,15.805699070141314
18,0.0,1.0,21.0,42.0,54.0,75.0,14.786670692470416,12.805267804599804,16.768073580341028
19,0.0,1.0,23.0,37.0,58.0,74.0,13.642018217616275,11.722776420295821,15.56126001493673
